State Park,Course Name,Region,County,Facility URL,Golf URL,Longitude,Latitude,Location
Alfred E. Smith/Sunken Meadow,Blue,9,Suffolk,http://nysparks.com/parks/37/details.aspx,http://nysparks.com/golf-courses/13/details.aspx,-73.2632063245,40.9099922695,"(40.9099922695, -73.2632063245)"
Alfred E. Smith/Sunken Meadow,Green,9,Suffolk,http://nysparks.com/parks/37/details.aspx,http://nysparks.com/golf-courses/13/details.aspx,-73.2632063245,40.9099922695,"(40.9099922695, -73.2632063245)"
Alfred E. Smith/Sunken Meadow,Red,9,Suffolk,http://nysparks.com/parks/37/details.aspx,http://nysparks.com/golf-courses/13/details.aspx,-73.2632063245,40.9099922695,"(40.9099922695, -73.2632063245)"
Battle Island,,5,Oswego,http://nysparks.com/parks/44/details.aspx,http://nysparks.com/golf-courses/5/details.aspx,-76.4360441829,43.3616709338,"(43.3616709338, -76.4360441829)"
Beaver Island,,1,Erie,http://nysparks.com/parks/56/details.aspx,http://nysparks.com/golf-courses/4/details.aspx,-78.9531063633,42.9657659397,"(42.9657659397, -78.9531063633)"
Bethpage,Black,9,Nassau,http://nysparks.com/parks/108/details.aspx,http://nysparks.com/golf-courses/11/details.aspx,-73.4568035403,40.7475174105,"(40.7475174105, -73.4568035403)"
Bethpage,Blue,9,Nassau,http://nysparks.com/parks/108/details.aspx,http://nysparks.com/golf-courses/11/details.aspx,-73.4568035403,40.7475174105,"(40.7475174105, -73.4568035403)"
Bethpage,Green,9,Nassau,http://nysparks.com/parks/108/details.aspx,http://nysparks.com/golf-courses/11/details.aspx,-73.4568035403,40.7475174105,"(40.7475174105, -73.4568035403)"
Bethpage,Red,9,Nassau,http://nysparks.com/parks/108/details.aspx,http://nysparks.com/golf-courses/11/details.aspx,-73.4568035403,40.7475174105,"(40.7475174105, -73.4568035403)"
Bethpage,Yellow,9,Nassau,http://nysparks.com/parks/108/details.aspx,http://nysparks.com/golf-courses/11/details.aspx,-73.4568035403,40.7475174105,"(40.7475174105, -73.4568035403)"
Bonavista,,4,Seneca,http://nysparks.com/parks/160/details.aspx,http://nysparks.com/golf-courses/10/details.aspx,-76.8677249793,42.6731942171,"(42.6731942171, -76.8677249793)"
Chenango Valley,,5,Broome,http://nysparks.com/parks/41/details.aspx,http://nysparks.com/golf-courses/20/details.aspx,-75.8362368401,42.2155402507,"(42.2155402507, -75.8362368401)"
Fair Haven Beach,,4,Cayuga,http://nysparks.com/parks/12/details.aspx,http://nysparks.com/golf-courses/9/details.aspx,-76.6913106828,43.3417081221,"(43.3417081221, -76.6913106828)"
Green Lakes,,5,Onondaga,http://nysparks.com/parks/172/details.aspx,http://nysparks.com/golf-courses/14/details.aspx,-75.9818848047,43.0469783183,"(43.0469783183, -75.9818848047)"
Indian Hills,,4,Steuben,,http://nysparks.com/golf-courses/19/details.aspx,-77.1547655357,42.0930548903,"(42.0930548903, -77.1547655357)"
James Baird,,7,Dutchess,http://nysparks.com/parks/101/details.aspx,http://nysparks.com/golf-courses/1/details.aspx,-73.7954318134,41.6880050951,"(41.6880050951, -73.7954318134)"
Jones Beach,Pitch/Putt,9,Nassau,http://nysparks.com/parks/10/details.aspx,http://nysparks.com/golf-courses/18/details.aspx,-73.5164273182,40.596010848,"(40.596010848, -73.5164273182)"
Mark Twain,,4,Chemung,http://nysparks.com/parks/138/details.aspx,http://nysparks.com/golf-courses/3/details.aspx,-76.8356909125,42.211660694,"(42.211660694, -76.8356909125)"
Montauk Downs,,9,Suffolk,http://nysparks.com/parks/29/details.aspx,http://nysparks.com/golf-courses/8/details.aspx,-71.9385278002,41.0492876822,"(41.0492876822, -71.9385278002)"
Ogden & Ruth Livingston Mills,,7,Dutchess,http://nysparks.com/parks/33/details.aspx,http://nysparks.com/golf-courses/21/details.aspx,-73.9348059546,41.8530053952,"(41.8530053952, -73.9348059546)"
Pinnacle,,4,Steuben,http://nysparks.com/parks/4/details.aspx,http://nysparks.com/golf-courses/16/details.aspx,-77.2145609228,42.0973529692,"(42.0973529692, -77.2145609228)"
Robert Moses,Pitch/Putt,9,Suffolk,http://nysparks.com/parks/7/details.aspx,http://nysparks.com/golf-courses/12/details.aspx,-73.2651424363,40.6235177464,"(40.6235177464, -73.2651424363)"
Rockland Lake,,8,Rockland,http://nysparks.com/parks/81/details.aspx,http://nysparks.com/golf-courses/6/details.aspx,-73.9219192445,41.1362106822,"(41.1362106822, -73.9219192445)"
Rockland Lake,Executive,8,Rockland,http://nysparks.com/parks/81/details.aspx,http://nysparks.com/golf-courses/6/details.aspx,-73.9219192445,41.1362106822,"(41.1362106822, -73.9219192445)"
Sag Harbor,,9,Suffolk,,http://nysparks.com/golf-courses/17/details.aspx,-72.2605666428,40.9970245166,"(40.9970245166, -72.2605666428)"
Saratoga Spa,,11,Saratoga,http://nysparks.com/parks/112/details.aspx,http://nysparks.com/golf-courses/15/details.aspx,-73.8039355929,43.0508914472,"(43.0508914472, -73.8039355929)"
Saratoga Spa,Executive,11,Saratoga,http://nysparks.com/parks/112/details.aspx,http://nysparks.com/golf-courses/15/details.aspx,-73.8039355929,43.0508914472,"(43.0508914472, -73.8039355929)"
St. Lawrence,,10,St. Lawrence,http://nysparks.com/parks/70/details.aspx,http://nysparks.com/golf-courses/2/details.aspx,-75.5765698357,44.6298363383,"(44.6298363383, -75.5765698357)"
Wellesley Island,,10,Jefferson,http://nysparks.com/parks/52/details.aspx,http://nysparks.com/golf-courses/7/details.aspx,-76.0154482065,44.3292380029,"(44.3292380029, -76.0154482065)"
